სათაური,ეპიზოდები
D4DJ All Mix,Ep 12/12
Nijiyon Animation,Ep 12/12
Technoroid: Overmind,Ep 12/12
Sorcerous Stabber Orphen -Chaos in Urbanrama-,Ep 12/12
"""Ippon"" again!",Ep 13/13
The Tale of Outcasts,Ep 13/13
Giant Beasts of Ars,Ep 12/12
Sugar Apple Fairy Tale,Ep 12/12
Malevolent Spirits: Mononogatari,Ep 12/12
Revenger,Ep 12/12
The Vampire Dies in No Time: 2nd Season,Ep 12/12
"Saving 80,000 Gold in Another World for My Retirement",Ep 12/12
Tsurune - The Linking Shot -,Ep 13/13
Kaina of the Great Snow Sea,Ep 11/11
Chillin' in My 30s after Getting Fired from the Demon King's Army,Ep 12/12
Campfire Cooking in Another World with My Absurd Skill,Ep 12/12
Ayakashi Triangle,Ep 7/12
The Iceblade Sorcerer Shall Rule the World,Ep 12/12
The Reincarnation of the Strongest Exorcist in Another World,Ep 13/13
Handyman Saitou in Another World,Ep 12/12
Buddy Daddies,Ep 12/12
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,Ep 12/12
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,Ep 12/12
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,Ep 12/12
Farming Life in Another World,Ep 12/12
"The Fruit of Evolution: Before I Knew It, My Life Had It Made Season 2",Ep 12/12
My Life as Inukai-san's Dog.,Ep 12/12
Trigun Stampede,Ep 12/12
Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,Ep 12/12
"Record of Ragnarok II, Part 1",Ep 10/15
Junji Ito Maniac: Japanese Tales of the Macabre,Ep 12/12
Make My Day,Ep 8/8
Scissor Seven Season 4,Ep 10/10
"Suddenly, Egyptian Gods Season 2",Ep 10/10
Lupin the 3rd vs Cat's Eye,Ep 1/1
Aiyou's Secret Room,Ep 9/16
What's Wrong with My Big Brother,Ep 13/13
Yao-Chinese Folktales,Ep 6/8
The Dining of Link Lee 2nd Season,Ep 10/10
The Dining of Link Lee,Ep 10/10
